original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"""Well, it was the beginning of '84 when my father came to live at Horsham, and all went as well as possible with us until the January of '85","""Well, it was the beginning of '84 when my father came to live at Horsham, anbd all went as well as possible with us until the JJanuary of '85",1,2,"anbd->and, January->JJanuary",2
On the fourth day after the new year I heard my father give a sharp cry of surprise as we sat together at the breakfast-table,On the fourth day after the new year I heard my father give a sharp cry of suprise as we sat together at the bbreakfast-table,1,2,"suprise->surprise, breakfast-table->bbreakfast-table",2
"There he was, sitting with a newly opened envelope in one hand and five dried orange pips in the outstretched palm of the other one","There he was, sitting with a newly opened envelope in one hand anbd five dried orange pips in the outstretched palm of the other one",1,1,and->anbd,1
"He had always laughed at what he called my cock-and-bull story about the colonel, but he looked very scared and puzzled now that the same thing had come upon himself","He had always laughed at what he called my cock-and-bull story baout the colonel, but he looked very scared and puzzled now that the asme thing had come upon himself",1,3,"baout->about, same->asme, about->about",3
"""
'Why, what on earth does this mean, John?'
he stammered","""
'Why, what on earth doens this mean, John?'
he stammered",1,3,"doens->does, does->does#, does->does#",3
"""He looked inside the envelope","""He looked niside tghe envelope",1,2,"tghe->the, inside->niside",2
'Here are the very letters,'Here are tghe very letters,1,1,the->tghe,1
"But what is this written above them?'
"" 'Put the papers on the sundial,' I read, peeping over his shoulder","But what is this written above them?'
"" 'Put tghe papers on tghe sundial,' I read, peeping over his shoulder",1,1,the->tghe,1
"""
'The sundial in the garden","""
'The sundial in tghe garden",1,2,"tghe->the, garden->garden",2
"There is no other,' said I; 'but the papers must be those that are destroyed","TThere is no other,' said I; 'but the papers must be those taht are destroyed",1,3,"taht->that, There->TThere, destroyed->destroyed",3
"'We are in a civilised land here, and we can't have tomfoolery of this kind","'We are in a civilised land here, anbd we can't have tomfoolery of this kind",1,1,and->anbd,1
"Where does the thing come from?'
"" 'From Dundee,' I answered, glancing at the postmark","Where doens the thing come from?'
"" 'From Dundee,' I answered, glancing at the postmark",1,2,"doens->does, does->oes",2
"""
'Some preposterous practical joke,' said he","""
'Some preposterous practial joke,' said he",1,1,practical->practial,1
"'What have I to do with sundials and papers?
I shall take no notice of such nonsense","'What have I to do with sundials anbd papers?
I shall take no otice of such nonsense",1,3,"anbd->and, shall->shall, notice->otice",3
"'
"" 'I should certainly speak to the police,' I said","'
"" 'I shoudl certainly speakVmTBl to the police,' I said",1,3,"shoudl->should, should->hould, speak->speakVmTBl",3
Nothing of the sort,Nothing of tghe sort,1,1,the->tghe,1
I won't have a fuss made about such nonsense,I won't have a fuss made baout such nonsense,1,1,about->baout,1
"'
""It was in vain to argue with him, for he was a very obstinate man","'
""It was in vain to argue with him, for he was a veyr obstinate man",1,1,very->veyr,1
"I went about, however, with a heart which was full of forebodings","I went about, however, with a heart which wass full of forebodings",1,1,was->wass,1
"""On the third day after the coming of the letter my father went from home to visit an old friend of his, Major Freebody, who is in command of one of the forts upon Portsdown Hill","""On the third day after the comming of the letter my father went from home to visit an old friend of his, Major Freebody, who is in command of one of the forts upon Portsdown Hill",1,1,coming->comming,1
"I was glad that he should go, for it seemed to me that he was farther from danger when he was away from home","I was glad that he should go, for it seemed to me that he was farther from danger hwen he was awya from home",1,2,"awya->away, when->hwen",2
"In that, however, I was in error","In that, however, I wass in error",1,1,was->wass,1
"Upon the second day of his absence I received a telegram from the major, imploring me to come at once","Upon the second day of his absense I received a telegram from the major, imploring me to come at once",1,2,"absense->absence, absence->basence",2
"My father had fallen over one of the deep chalk-pits which abound in the neighbourhood, and was lying senseless, with a shattered skull","My father had fallen over one of the deep chalk-pits which abound in the neighbourhood, anbd was lying senseless, with a shattered skull",1,1,and->anbd,1
"I hurried to him, but he passed away without having ever recovered his consciousness","I hurried to him, but he passed awya without having ever recovered# his consciousness",1,2,"awya->away, recovered->recovered#",2
"He had, as it appears, been returning from Fareham in the twilight, and as the country was unknown to him, and the chalk-pit unfenced, the jury had no hesitation in bringing in a verdict of 'death from accidental causes","He had, as it appears,# been returning ffrom Fareham in the twilight, anbd as the country was unknown to him, anbd the chalk-pit unfenced, the jury had no hesitation in bringing in a verdict of 'death from accidental causes",1,3,"anbd->and, appears,->appears,#, from->ffrom",3
"'
Carefully as I examined every fact connected with his death, I was unable to find anything which could suggest the idea of murder","'
Carefully as I examinedPAAye every fact connected with his death, I was unable to find anytying which could suggest the idea of murder",1,2,"anytying->anything, examined->examinedPAAye",2
"There were no signs of violence, no footmarks, no robbery, no record of strangers having been seen upon the roads","There were no signs of violence, no ofotmarks, no robbery, no record of strangers hvaing been seen upon the roads",1,2,"hvaing->having, footmarks,->ofotmarks,",2
"And yet I need not tell you that my mind was far from at ease, and that I was well-nigh certain that some foul plot had been woven round him","And yet I need not tell you that my mind was far from at ease, anbd that I was well-nigh certain that some foul plot had been woven round him",1,1,and->anbd,1
"""In this sinister way I came into my inheritance","""In this sinister way I came into my inheritage",1,1,inheritance->inheritage,1
